Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Population ages 10-14, male (% of male population)",11.7807682,11.76590745,11.77201258,11.80113848,11.89543054,12.10637294,12.43782184,12.86427932,13.33867785,13.74526513,13.96898991,13.96186272,13.8082127,13.5668463,13.31252145,13.08552738,12.7795208,12.51139912,12.28109606,12.08567638,11.92826649,11.82297348,11.71690483,11.60053777,11.44820478,11.22728574,10.9158146,10.56227211,10.17570726,9.801440209,9.495862908,9.305468196,9.16430612,9.057615711,8.92570456,8.701976374,8.356742674,7.952971352,7.518648029,7.151456471,6.955444179,6.94658405,7.082187652,7.306335894,7.506426114,7.585054655,7.565832585,7.436530461,7.219969364,6.960471926,6.687992266,6.388212229,6.05681579,5.698566503,5.348013229,5.050246556,4.854430391,4.728620476,4.656579387,4.611672676,4.577459219
Wanted fertility rate (births per woman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",32.489,30.967,29.445,27.4024,25.3598,23.3172,21.2746,19.232,17.958,16.684,15.41,14.136,12.862,13.2402,13.6184,13.9966,14.3748,14.753,14.2606,13.7682,13.2758,12.7834,12.291,11.1114,9.9318,8.7522,7.5726,6.393,5.9366,5.4802,5.0238,4.5674,4.111,3.874,3.637,3.4,3.163,2.926,2.7788,2.6316,2.4844,2.3372,2.19,2.1518,2.1136,2.0754,2.0372,1.999,1.9524,1.9058,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564,1.379,1.3204,1.2618,
"Unemployment, male (% of male labor force) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.683000088,2.75,3.279000044,2.835000038,2.305999994,2.354000092,2.813999891,7.801000118,7.163000107,4.623000145,4.177999973,3.430999994,3.562999964,3.655999899,3.749000072,3.630000114,3.438999891,3.352999926,3.828000069,3.657999992,3.234999895,2.986000061,2.954999924,3.167000055,3.595999956,3.729000092,3.775000095,3.917000055,3.872999907,3.888000011
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.133999825,7.440000057,8.741999626,7.084000111,6.131000042,5.992000103,7.452000141,15.70699978,13.88599968,9.993000031,9.368000031,7.940999985,9.484000206,9.862999916,9.364999771,8.940999985,7.856999874,8.671999931,9.236000061,8.545000076,8.312000275,7.737999916,7.913000107,8.567000389,9.897999763,10.14999962,9.777000427,10.10900021,9.855999947,10.15200043
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60199738,74.62799835,75.23200226,75.27300262,75.92700195,76.02999878,75.86499786,75.73899841,74.70500183,74.08999634,74.22799683,74.20200348,74.91300201,74.7009964,75.0490036,74.66999817,74.35500336,74.26499939,73.59500122,73.02700043,72.95800018,73.09300232,73.22000122,73.26399994,74.08999634,74.10600281,73.94200134,73.98699951,73.63600159,73.45600128,72.60199738
"Labor force participation rate for ages 15-24, total (%) (national estimate)",38.40000153,,,,,,41.43999863,,,,44.97999954,,,,,51.06000137,,,,,45.08000183,42.59000015,42.45000076,39.84000015,36.40000153,35.56000137,35.43999863,35.45999908,33.95999908,34.31000137,34.95999908,37.27000046,37.38999939,36.88999939,37.20999908,36.93000031,35.93000031,34.83000183,32.20999908,32.15000153,31.12000084,32.09999847,32.75999832,32.65000153,33.15000153,31.32999992,28.71999931,26.29999924,24.13999939,23.10000038,23.22999954,23.79999924,24.54000092,24.72999954,26.62999916,28.17000008,28.30999947,28.05999947,27.32999992,27.60000038,26.26000023
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment in industry (% of total employment) (modeled ILO estimate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81999969,35.75,34.02000046,33.63000107,33.43999863,32.63999939,31.43000031,27.97999954,27.51000023,28.14999962,27.47999954,27.31999969,27.61000061,27.15999985,26.65999985,26.14999962,25.79000092,25.30999947,24.5,25.02000046,24.85000038,24.57999992,27.57999992,25,25.38999939,25.20000076,25.27000046,25.20000076,24.57999992,
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.13999939,59.36199951,59.13600159,60.0719986,60.66400146,60.8370018,60.86899948,56.40100098,56.75799942,59.06999969,59.59000015,60.54499817,59.81700134,60.54600143,60.3730011,60.48799896,60.56100082,60.13600159,59.22100067,59.32300186,59.68999863,59.97600174,60.19800186,60.97200012,60.92699814,60.89300156,61.1629982,60.93999863,61.18600082,60.34199905
"Employment to population ratio, ages 15-24, male (%) (national estimate)",,,,,,,,,,,,,,,,,,,,,39.95000076,38.15999985,37.52000046,33.61999893,30.81999969,28.54999924,27.81999969,27.65999985,25.52000046,25.78000069,25.67000008,28.29999924,28.72999954,27.10000038,28.86000061,28.77000046,28.10000038,26.47999954,22.05999947,23.02000046,22.95000076,23.38999939,24.60000038,23.88999939,24.31999969,22.29999924,20.56999969,19.40999985,16.88999939,16.48999977,16.37999916,17.51000023,18.39999962,18.98999977,20.76000023,21.79000092,21.80999947,21.81999969,20.29000092,21.69000053,20.37000084
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,,1.5,,1.2,,1,,0.7,,,,
Income share held by lowest 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.6,,2.6,,2.6,,2.8,,2.8,,,,
Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96156311,2.4766221,2.35344291,2.47796965,2.48939943,2.63443613,2.91707134,3.01493216,3.09052038,3.42186904,3.51182413,3.51881123,3.53646016,3.61362767,3.71141768,3.81570315,3.97724891,4.11588812,4.40991306,4.8600049,
Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality caused by road traffic injury (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,21,18.6,18.8,16.6,16.1,15.9,15.4,15,14.7,13.7,12.8,12.7,11.8,10.9,10.6,9.8,9.5,8.6,8.6,
"Prevalence of overweight, weight for height, male (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,
Diabetes prevalence (% of population ages 20 to 79),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,
"Prevalence of current tobacco use, females (% of female adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,6.3,,6.2,,6.1,,6,,5.9,,
"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,93,88,82,88,93,89,92,91,92,99,99,91,94,94,94,99,99,99,99,98,98,98,98,98,
People using at least basic drinking water services (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.64717598,98.64717598,98.64717598,98.64717598,98.64717598,98.73890603,98.83063608,98.92236612,99.01409617,99.10582622,99.19755627,99.28928631,99.38101636,99.47274641,99.56447646,99.6562065,99.74793655,99.8396666,99.93139665
"Probability of dying among children ages 5-9 years (per 1,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.4,2.3,2.2,2,1.9,1.7,1.6,1.5,1.4,1.2,1.1,1.1,1,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.59,,,,,16.02,,,,,15.07,,,,,15.16,,,14.65,,
"Government expenditure on education, total (% of GDP)",,,,,,,,,,,3.414040089,3.739180088,3.220750093,2.680219889,,2.089250088,2.754570007,2.426419973,,3.018830061,3.458739996,2.898629904,6.329669952,4.315380096,4.005320072,3.986449957,3.635940075,3.374239922,2.747370005,3.062629938,3.03873992,3.489249945,3.577889919,3.69698,3.01831007,2.93543005,,,3.368139982,3.369290113,,,,,,,,,,,,,,,,,4.333099842,4.328239918,4.458079815,,
"Pupil-teacher ratio, tertiary",,,,,,,,,,,,19.30388,19.64967,19.07969,19.74848,20.79056,20.80584,24.24967,24.97404,26.31009,28.09669,30.58164,34.07296,37.25858,39.92033,41.59032,42.44195,41.87725,26.99479,26.08197,23.49581,23.18487,22.74491,23.06945,22.7656,22.14504,21.45639,20.82365,20.82373,20.73337,20.83086,20.74704,19.62154,18.67876,18.30786,16.84641,16.63751,15.89584,15.38596,14.92727,14.69277,14.58831,14.60357,14.66233,14.78483,14.51908,14.55384,14.28244,,,
"Secondary education, teachers (% female)",,,,,,,,,,,,15.22630024,15.76848984,16.52914047,17.67163086,18.3902092,19.80170059,19.95466042,21.31635094,22.97570992,24.71467972,25.67597008,26.20046997,27.15522957,28.02421951,28.79286957,29.61218071,30.40020943,30.97546005,31.5206604,32.47826004,34.23728943,35.3981781,35.80104065,36.37255096,37.37994003,37.99399185,39.22303009,39.56687164,40.84693909,44.01174927,45.47557831,47.68307877,49.09125137,49.93746185,50.73447037,51.71686172,52.50867844,53.59481812,54.45782089,55.32041931,56.53092957,57.79042053,58.06816101,58.51514053,59.18741989,59.4853096,59.96104813,60.58565903,61.29127121,
"School enrollment, secondary, male (% net)",,,,,,,,,,,,42.10101,46.16797,49.02851,52.76906,56.74901,60.85402,64.336,67.1441,70.23172,73.52958,76.72376,,,82.95148,84.12026,85.92878,,,84.82576,,89.17004,87.53327,,,,95.96534,94.43183,93.92633,93.35907,92.31392,92.21848,92.02118,92.80124,93.43617,94.18923,93.85379,93.96953,93.31706,94.77398,95.07951,95.84121,96.54936,97.91041,98.237,97.91916,98.39339,98.19101,,,
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",,,,,,,,,,,15.66034031,,,,,,,,,,27.61751938,,,,,56.96377182,,,,,48.40000153,,,,,56.46120834,,,,,63.71459961,,,,,69.25350189,,,,66.03618622,72.72480011,,,,,76.44989777,,,,,
"Children out of school, female (% of female primary school age)",,,,,,,,,,,,5.881440163,3.862869978,4.514279842,4.730969906,4.013790131,2.935889959,3.655639887,3.151789904,1.388429999,,,,,0.660179973,1.141549945,1.453600049,0.305449992,,,,,,,,,,,,,0.087169997,1.498270035,1.934599996,1.330549955,1.502609968,,,,,0.229699999,,,1.733610034,4.304470062,3.955060005,1.39260006,2.692719936,2.470259905,0.945469975,,
"Persistence to last grade of primary, female (% of cohort)",,,,,,,,,,,,94.54483795,91.09616852,92.39514923,93.98610687,93.83422852,92.13617706,95.20446014,95.9070816,97.25150299,,93.98612976,96.86248779,96.85746765,98.865242,99.34736633,99.27887726,99.32665253,99.36849976,99.43768311,99.85472107,99.49542999,99.50801849,99.42524719,99.27552032,,,96.85279083,99.03807831,99.06546021,98.8968811,98.47226715,99.36547089,97.3881073,98.51493835,98.8442688,97.23552704,98.58371735,98.73114014,99.32853699,99.1040802,99.27384186,99.47794342,99.34718323,99.59649658,99.39433289,99.50344086,99.22895813,99.30612946,,
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",,,,,,,,,,,,111.86072,108.45845,104.20056,106.98347,105.25663,110.62515,106.55429,107.55101,113.08385,109.15286,106.20368,104.71835,100.00025,94.49795,100.87277,100.35692,111.91699,110.61952,112.02495,108.65788,101.74291,94.22076,100.26846,103.42743,106.86268,106.5294,104.55361,109.14315,103.67957,97.68123,96.16083,98.85296,99.32011,103.37145,101.72506,102.69499,108.5631,101.63585,93.76099,100.50853,99.96592,93.62416,96.9974,106.17714,100.38361,95.72719,100.49628,,,
"Trained teachers in preprimary education, male (% of male teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Literacy rate, youth male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90808868,,,,,,,,,,,,
Coverage of social safety net programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price level ratio of PPP conversion factor (GDP) to market exchange rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791115888,0.806044381,0.79791709,0.805471883,0.85214728,0.93054628,0.91213841,0.788621814,0.55304763,0.634993498,0.66115229,0.586138649,0.615280907,0.664054274,0.693877302,0.770342027,0.808780734,0.828710763,0.712962423,0.648759797,0.727463085,0.771083474,0.758907615,0.7937883,0.828025228,0.758058349,0.74007667,0.771944251,0.776802723,0.741944482,0.698660356
Gross savings (current LCU),,,,,,,,,,,,,,,,,3.69686E+12,5.31263E+12,7.94546E+12,9.93358E+12,9.97222E+12,1.21781E+13,1.51354E+13,2.04814E+13,2.52239E+13,2.82374E+13,3.64797E+13,4.76691E+13,6.04671E+13,6.41983E+13,7.82694E+13,9.4659E+13,1.05836E+14,1.20393E+14,1.41162E+14,1.64669E+14,1.76539E+14,1.94654E+14,2.02656E+14,2.09231E+14,2.20862E+14,2.25806E+14,2.46836E+14,2.76179E+14,3.22153E+14,3.23288E+14,3.30748E+14,3.64529E+14,3.84607E+14,4.01157E+14,4.63505E+14,4.81563E+14,4.99199E+14,5.23022E+14,5.46823E+14,6.02667E+14,6.40352E+14,6.79471E+14,6.80597E+14,6.69348E+14,6.98463E+14
GNI (current US$),3994151269,2447608485,2846549410,4024707787,3496022136,3164789790,4013488612,5004583765,6288342671,7876943365,9168598660,9979259686,10885998626,13890088371,19614310085,21608057851,29770041322,38336570248,52122933884,66830371901,64803516455,71939562134,77634321825,86845117628,96130921363,99074963794,1.14325E+11,1.46156E+11,1.98045E+11,2.46201E+11,2.83084E+11,3.30312E+11,3.55054E+11,3.92142E+11,4.62449E+11,5.64504E+11,6.0803E+11,5.66694E+11,3.7837E+11,4.92025E+11,5.72323E+11,5.43952E+11,6.24918E+11,7.00265E+11,7.918E+11,9.28298E+11,1.05014E+12,1.16964E+12,1.04761E+12,9.42479E+11,1.14578E+12,1.26098E+12,1.2918E+12,1.37953E+12,1.4915E+12,1.47036E+12,1.5056E+12,1.63052E+12,1.73179E+12,1.66568E+12,1.65049E+12
"GDP, PPP (constant 2017 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42571E+11,6.01049E+11,6.38306E+11,6.82205E+11,7.45437E+11,8.17107E+11,8.81583E+11,9.35981E+11,8.87971E+11,9.89794E+11,1.07948E+12,1.13186E+12,1.2193E+12,1.25767E+12,1.32304E+12,1.38004E+12,1.45269E+12,1.53694E+12,1.58325E+12,1.5958E+12,1.70439E+12,1.76721E+12,1.80966E+12,1.86693E+12,1.92672E+12,1.98085E+12,2.03922E+12,2.10365E+12,2.16481E+12,2.21339E+12,2.19453E+12
GDP deflator: linked series (base year varies by country),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.16118256,48.19797096,51.94679184,55.1958158,59.69921959,63.89282807,66.51925443,69.18221027,72.27875286,71.38984318,72.11927961,74.62794814,76.89151802,79.54427036,82.03231992,82.88660572,82.70160645,84.70232036,87.09626399,90.23925821,92.70955505,93.89796528,95.07338768,96.04175178,96.9127513,100,101.9860385,104.2529652,104.7564538,103.8772064,105.2410197
Adjusted savings: net national savings (% of GNI),,,,,,,,,,,,,,,,,18.04916275,20.7602325,23.9385818,22.51653064,15.76955417,15.08634826,16.17995639,19.76379742,22.20952246,21.93760773,25.09479244,28.24163035,30.07751686,27.07839065,26.88549871,27.35539986,25.60485561,25.38272037,25.3929907,23.5683077,21.20267854,20.44142386,19.69213362,18.1399611,16.82200074,14.74681363,14.85602607,16.09398857,18.55510316,16.82144667,15.7981901,16.69659348,15.2946099,14.52469401,16.93852137,16.00665107,15.52028531,15.87091345,16.02098263,17.61643746,18.17518418,18.43521493,16.86691798,14.78532738,
Adjusted savings: education expenditure (% of GNI),,,,,,,,,,,2.6,2.9,2.7,2.5,2.1321984,1.6,2.5,2.3,2.3806545,2.6,3,2.6,5.4,3.5,3.4,3.4,3.2,3.1,2.5,2.8,2.9,2.9,3.1,3.2,3.3,3.2,3.3614832,3.2041161,2.705872405,2.8,2.883333333,2.966666667,3.05,3.35,3.61,3.42,3.73,3.7,4,3.93,4.04247732,4.154954639,4.11,4.562913544,4.595769107,4.63873508,4.63873508,4.63873508,4.63873508,4.63873508,
"Industry (including construction), value added (constant LCU)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66213E+14,5.83993E+14,,,,
"Agriculture, forestry, and fishing, value added (annual % growth)",,14.90460801,-6.333072713,9.56803005,15.97837243,1.184198522,8.857792044,-5.060795812,0.122140601,9.047419878,-0.713572256,5.523452339,3.024825535,6.593081188,6.304735844,5.303629177,8.959381572,3.038309115,-9.894451813,11.42559259,-16.1449762,15.73330183,7.813545672,9.31567236,-2.607214352,5.942981373,5.223908441,-4.342276138,9.399412479,-0.138495943,-5.633193514,3.190576137,8.974816854,-4.219756679,0.118090851,6.82201818,3.889237876,4.311118622,-7.562359583,5.124639713,0.295668348,0.4082085,-3.018395879,-6.150320946,7.69330272,0.573163774,2.312058908,4.993470442,6.438589847,4.633779324,-3.643368533,-1.02435929,-0.495564453,4.197937521,5.081601555,-0.246792004,-5.634277597,2.253677456,0.15408705,3.935943592,-3.951397837
Gross capital formation (% of GDP),10.52189226,12.69515065,14.07368939,18.78736452,15.41342202,14.76322785,21.69744951,22.20124541,27.09787938,29.93410646,26.324823,24.97673066,21.47995407,26.01089139,32.59962049,28.5263098,27.63597922,30.10570665,34.48448588,37.47388303,34.03062547,32.15998454,31.96698704,32.47674431,32.297977,32.27005198,32.61401086,32.58555208,34.81571591,36.71606701,39.55305296,41.23401783,38.73834045,37.65429611,38.51260183,38.94948795,39.42351944,37.18862188,27.77904874,31.01282773,32.8936287,31.60293756,31.09283276,32.27961522,32.54955312,32.50818478,32.99330799,33.09748305,33.6668294,29.39998973,32.55211358,33.31942582,31.31664675,29.88532729,29.79047863,29.52928082,30.1426786,32.28806347,31.48718418,31.49493367,31.86101106
"Gross fixed capital formation, private sector (current LCU)",,,,,,,,,,,5.514E+11,6.084E+11,7.09E+11,1.1168E+12,1.818E+12,2.3227E+12,3.0848E+12,4.4419E+12,6.8748E+12,9.1406E+12,1.02371E+13,1.09276E+13,1.3632E+13,1.66678E+13,1.90856E+13,2.09795E+13,2.48984E+13,3.08636E+13,3.75781E+13,4.60385E+13,6.43221E+13,7.9989E+13,8.58184E+13,9.62867E+13,1.14526E+14,1.38027E+14,1.56892E+14,1.62211E+14,1.34127E+14,1.46312E+14,1.72268E+14,1.79228E+14,1.98703E+14,2.14742E+14,2.31143E+14,2.40872E+14,2.55664E+14,2.74479E+14,2.97023E+14,2.93999E+14,3.30518E+14,3.49612E+14,3.56658E+14,3.64951E+14,3.84851E+14,4.09153E+14,4.40228E+14,4.97221E+14,4.91093E+14,4.8103E+14,5.00454E+14
Final consumption expenditure (constant 2015 US$),35331065745,36070838942,39305401768,41080574544,44188629789,47215087201,50550166533,55012940285,60825658673,67324046386,74152273225,81178615710,85984135719,93047785123,99993325421,1.05856E+11,1.13613E+11,1.20146E+11,1.29864E+11,1.40665E+11,1.43031E+11,1.51068E+11,1.61155E+11,1.74613E+11,1.87264E+11,1.99783E+11,2.17143E+11,2.35311E+11,2.57075E+11,2.8511E+11,3.13963E+11,3.40036E+11,3.6331E+11,3.86775E+11,4.18419E+11,4.58539E+11,4.93441E+11,5.12803E+11,4.648E+11,5.14704E+11,5.54944E+11,5.87699E+11,6.37956E+11,6.41551E+11,6.49063E+11,6.80145E+11,7.17262E+11,7.56959E+11,7.74178E+11,7.86373E+11,8.23046E+11,8.4661E+11,8.65879E+11,8.86787E+11,9.09087E+11,9.32585E+11,9.6082E+11,9.90162E+11,1.02686E+12,1.05958E+12,1.03381E+12
General government final consumption expenditure (annual % growth),,0.71651247,4.053817928,5.627923714,0.08251762,6.539235412,11.54941177,9.463192332,10.7115861,10.64315876,7.255932292,8.630036954,8.161170072,2.258867666,7.21405313,6.897333622,0.579472593,6.925431701,5.565699702,5.811264137,11.96795916,6.676606787,2.193312547,3.624846572,4.828058835,3.363774304,5.267288078,7.198595107,8.573252352,11.34334018,10.4329796,4.856422038,6.252440622,4.207644426,3.317767753,3.866607758,6.928129046,2.396389562,4.036026931,4.953536062,0.681767567,6.450258306,6.543907026,5.064748267,4.60342701,5.340537048,7.635406227,6.528858975,4.818327746,6.650211782,5.622557586,2.563347312,4.491153609,4.78322097,4.269724199,3.813772153,4.428161287,3.931042114,5.328802739,6.400060722,4.974326893
Imports of goods and services (constant LCU),1.4225E+12,1.2996E+12,1.7566E+12,2.1957E+12,1.6499E+12,1.872E+12,2.7992E+12,3.6433E+12,5.1831E+12,6.5351E+12,7.1323E+12,8.5687E+12,8.5833E+12,1.1501E+13,1.37566E+13,1.4333E+13,1.78458E+13,2.17851E+13,2.84234E+13,3.22825E+13,3.12056E+13,3.26637E+13,3.31581E+13,3.54408E+13,3.69719E+13,3.6217E+13,4.82418E+13,5.69705E+13,6.45037E+13,7.47066E+13,8.4743E+13,1.01678E+14,1.06576E+14,1.13763E+14,1.40993E+14,1.72055E+14,1.96376E+14,2.01016E+14,1.52332E+14,1.8986E+14,2.31805E+14,2.23779E+14,2.57103E+14,2.84045E+14,3.1837E+14,3.43052E+14,3.85837E+14,4.29758E+14,4.43781E+14,4.13126E+14,4.85464E+14,5.55914E+14,5.70188E+14,5.79538E+14,5.86859E+14,5.99257E+14,6.30267E+14,6.86089E+14,6.97841E+14,6.84517E+14,6.61725E+14
Gross fixed capital formation (annual % growth),,6.726457399,29.55550641,25.43313135,-6.208750085,28.85850049,57.68050669,26.1835904,40.02518286,25.78555984,8.646933612,6.257577998,2.578553338,26.09577427,14.4473193,10.29229981,27.53612689,32.47347757,35.19320991,9.490528688,-11.087577,-2.147044675,11.66761982,16.11485959,11.6206496,6.337063751,14.33559982,18.43623671,14.04677057,16.11740024,24.61501669,14.32567489,2.370022355,8.125903824,14.05859895,12.97309987,8.566581138,-0.518647239,-20.53796538,9.253575736,13.98647866,2.214030581,7.442767187,5.317341844,2.787929641,1.485022652,3.9722232,5.056947774,-0.615334644,0.413669428,5.751686893,1.321695509,-0.133237274,2.813998409,3.105832447,5.35381673,6.576463243,9.78131402,-2.201564741,-2.131881361,2.613256945
Gross national expenditure (current US$),4349795960,2655155171,3117088912,4384016862,3680126671,3344331832,4320667797,5401153334,6895644316,8604837590,9901146316,10949157425,11372903357,14378640289,21707172349,23683264463,30741735537,39157644628,54100000000,71833057851,71061521492,78045460552,82537478798,89559780857,96928831981,1.00114E+11,1.1231E+11,1.38083E+11,1.86839E+11,2.42171E+11,2.85509E+11,3.38314E+11,3.58109E+11,3.90774E+11,4.66119E+11,5.71973E+11,6.28859E+11,5.74302E+11,3.43068E+11,4.71152E+11,5.66347E+11,5.40858E+11,6.20536E+11,6.92166E+11,7.65659E+11,9.13284E+11,1.04684E+12,1.16108E+12,1.04995E+12,9.03646E+11,1.11194E+12,1.23932E+12,1.24353E+12,1.3073E+12,1.40938E+12,1.36542E+12,1.40018E+12,1.54681E+12,1.6483E+12,1.60527E+12,1.57803E+12
Households and NPISHs final consumption expenditure: linked series (current LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00738E+14,1.22045E+14,1.41345E+14,1.61105E+14,1.92771E+14,2.2707E+14,2.61377E+14,2.89425E+14,2.70298E+14,3.11177E+14,3.55141E+14,3.91692E+14,4.40207E+14,4.52737E+14,4.68701E+14,5.00911E+14,5.33278E+14,5.7181E+14,6.06356E+14,6.22809E+14,6.67061E+14,7.11119E+14,7.38312E+14,7.58005E+14,7.80463E+14,8.04812E+14,8.34805E+14,8.72791E+14,9.11576E+14,9.35934E+14,8.97449E+14
Arms imports (SIPRI trend indicator values),195000000,180000000,131000000,218000000,283000000,627000000,574000000,130000000,350000000,499000000,80000000,240000000,373000000,253000000,450000000,654000000,556000000,1193000000,380000000,1354000000,924000000,893000000,684000000,501000000,527000000,759000000,873000000,763000000,1213000000,1843000000,1206000000,919000000,785000000,1028000000,1026000000,1954000000,1976000000,1229000000,1427000000,1646000000,1397000000,772000000,528000000,752000000,1061000000,809000000,1653000000,1727000000,1686000000,794000000,1299000000,1570000000,1078000000,191000000,723000000,254000000,1058000000,1052000000,1100000000,1480000000,1317000000
Fixed telephone subscriptions,,,,,,220635,220635,220635,220635,220635,481207,481207,481207,481207,481207,1058075,1270837,1537139,1879263,2292686,2704504,3263322,4079590,4809897,5594973,6517395,7520699,8625496,10306028,11791674,13276449,14572585,15593454,16686058,17646614,18600203,19600950,20421913,20088543,25619000,25863000,25775000,25735043,25127610,23567741,23905152,22431484,23006667,24357581,26893831,28543173,29468502,30099175,30333077,29481226,28882783,28035600,26844692,25906849,24727415,23858239
Statistical performance indicators (SPI): Overall score (scale 0-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.16708333,78.50208333,84.81458333,88.28375,
IDA resource allocation index (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,3829,3984,4368,4795,6636,7883,9115,12186,14355,16295,16738,14880,15122,15044,17158,19271,21921,25325,24637,24672,29179,30898,29566,28338,34865,38733,40713,43768,43518,36207,38296,40890,40779,44611,46219,46419,45406,45691,47431,47372,
Tax payments (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,13,11,11,11,12,12,12,12,12,
Time required to register property (days),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9.5,9.5,9.5,9,9,9,9,9,7,6.5,5.5,5.5,5.5,5.5,
Firms with female participation in ownership (% of firms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,
Time to obtain an electrical connection (days),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,
"Human capital index (HCI), lower bound (scale 0-1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813317835,,,,,,,0.827,0.823849022,,0.788339078
